,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Country","Data Source","Beverage Types","2016","2015","2014","2013","2012","2011","2010"
"Afghanistan","Data source","All types","","0.02","0.03","0.03","0.04","0.04","0.03"
"Albania","Data source","All types","5.07","4.77","4.81","5.06","5.43","5.65","5.53"
"Algeria","Data source","All types","0.56","0.56","0.56","0.54","0.49","0.44","0.39"
"Andorra","Data source","All types","10.06","9.97","9.95","9.78","10.06","10.31","10.64"
"Angola","Data source","All types","4.70","5.65","9.00","8.02","8.14","7.86","7.67"
"Antigua and Barbuda","Data source","All types","","8.45","8.45","8.50","8.30","7.91","7.81"
"Argentina","Data source","All types","","8.42","7.93","8.20","8.35","8.11","8.15"
"Armenia","Data source","All types","3.77","3.84","3.97","3.72","3.84","4.06","4.23"
"Australia","Data source","All types","9.71","9.52","9.71","9.87","10.03","10.30","10.52"
"Austria","Data source","All types","","11.40","12.20","11.60","12.10","11.90","12.10"
"Azerbaijan","Data source","All types","0.39","0.84","1.95","2.04","1.98","1.94","1.90"
"Bahamas","Data source","All types","","8.65","8.62","8.55","8.86","8.94","8.75"
"Bahrain","Data source","All types","2.08","2.16","2.12","2.12","2.02","1.86","2.10"
"Bangladesh","Data source","All types","","0.01","0.01","0.01","0.01","0.01","0.01"
"Barbados","Data source","All types","","9.15","8.97","8.88","8.79","8.49","8.45"
"Belarus","Data source","All types","10.05","10.09","11.71","12.37","14.14","15.05","13.88"
"Belgium","Data source","All types","","10.36","10.57","10.33","10.09","10.14","10.27"
"Belize","Data source","All types","","6.20","6.17","6.17","6.28","6.26","6.38"
"Benin","Data source","All types","","1.55","1.60","1.45","1.42","1.44","1.37"
"Bhutan","Data source","All types","","","","0.19","0.40","0.18","1.16"
"Bolivia (Plurinational State of)","Data source","All types","3.57","3.61","3.69","3.73","3.82","3.86","3.90"
"Bosnia and Herzegovina","Data source","All types","4.44","4.33","4.34","4.43","4.69","4.65","4.50"
"Botswana","Data source","All types","","6.22","5.47","4.72","5.13","6.00","5.61"
"Brazil","Data source","All types","6.31","6.97","7.17","7.10","7.31","7.43","7.38"
"Brunei Darussalam","Data source","All types","","0.64","0.64","0.64","0.65","0.94","0.87"
"Bulgaria","Data source","All types","11.49","11.30","10.67","10.74","11.30","11.05","10.83"
"Burkina Faso","Data source","All types","","4.87","4.85","4.63","4.64","4.51","4.65"
"Burundi","Data source","All types","","","","","","4.16","4.16"
"Cabo Verde","Data source","All types","","4.12","3.88","3.53","4.98","5.06","4.73"
"Cambodia","Data source","All types","3.50","3.32","3.04","2.78","2.50","2.38","2.14"
"Cameroon","Data source","All types","","6.50","6.71","6.67","6.35","6.12","6.17"
"Canada","Data source","All types","8.20","8.00","8.10","8.20","8.30","8.20","8.40"
"Central African Republic","Data source","All types","","1.68","1.59","1.46","1.72","1.77","1.82"
"Chad","Data source","All types","","0.69","0.68","0.63","0.63","0.60","0.55"
"Chile","Data source","All types","","7.89","7.92","7.23","8.35","7.02","7.55"
"China","Data source","All types","5.74","5.74","5.81","5.81","5.74","5.65","5.75"
"Colombia","Data source","All types","4.46","4.43","4.30","4.33","4.35","4.29","4.21"
"Comoros","Data source","All types","","","","0.25","0.11","0.12","0.15"
"Congo","Data source","All types","","4.86","4.93","4.71","4.46","4.34","4.12"
"Cook Islands","Data source","All types","","","","15.78","13.67","7.07","13.01"
"Costa Rica","Data source","All types","3.70","3.63","3.56","3.53","3.43","3.49","3.65"
"C̫te d'Ivoire","Data source","All types","","4.79","4.67","4.56","4.69","4.61","4.77"
"Croatia","Data source","All types","10.32","9.89","10.64","11.64","11.92","12.43","12.11"
"Cuba","Data source","All types","4.59","4.60","4.48","4.32","4.15","4.15","4.10"
"Cyprus","Data source","All types","","9.55","9.59","9.04","10.56","10.70","11.32"
"Czechia","Data source","All types","12.99","12.82","13.06","12.84","12.97","12.61","12.65"
"Democratic People's Republic of Korea","Data source","All types","","3.35","3.35","3.35","3.61","3.39","3.12"
"Democratic Republic of the Congo","Data source","All types","","1.39","1.58","1.62","1.72","1.65","1.67"
"Denmark","Data source","All types","9.55","9.38","9.53","9.43","9.10","10.22","10.24"
"Djibouti","Data source","All types","0.36","0.37","0.34","0.52","0.47","0.51","0.50"
"Dominica","Data source","All types","","","","8.41","8.48","5.46","7.45"
"Dominican Republic","Data source","All types","5.50","6.14","6.02","6.03","6.02","6.01","6.12"
"Ecuador","Data source","All types","3.17","3.67","3.80","3.78","3.92","4.00","3.96"
"Egypt","Data source","All types","0.18","0.18","0.20","0.20","0.20","0.20","0.21"
"El Salvador","Data source","All types","2.68","2.57","2.47","2.36","2.42","2.31","2.29"
"Equatorial Guinea","Data source","All types","","9.85","10.23","10.16","11.65","10.78","9.76"
"Eritrea","Data source","All types","","","","","","0.62","0.61"
"Estonia","Data source","All types","15.35","16.64","17.29","17.75","16.96","16.27","14.97"
"Eswatini","Data source","All types","","7.38","7.46","6.53","5.54","5.95","5.65"
"Ethiopia","Data source","All types","","1.43","1.43","1.43","1.40","0.86","0.88"
"Fiji","Data source","All types","","2.21","2.32","2.30","2.24","2.13","2.25"
"Finland","Data source","All types","8.43","8.51","8.75","9.07","9.27","9.81","9.72"
"France","Data source","All types","11.74","11.87","11.97","11.64","12.24","12.37","12.33"
"Gabon","Data source","All types","","9.54","9.54","8.70","8.27","8.65","8.86"
"Gambia","Data source","All types","","2.96","2.94","2.89","2.97","2.92","3.06"
"Georgia","Data source","All types","7.44","7.44","7.23","7.06","7.59","8.68","8.10"
"Germany","Data source","All types","10.90","11.99","11.60","11.67","11.76","11.87","11.35"
"Ghana","Data source","All types","","1.56","1.56","1.60","1.79","1.86","1.94"
"Greece","Data source","All types","6.52","6.64","6.99","7.52","7.62","8.03","8.99"
"Grenada","Data source","All types","8.88","8.67","8.47","8.37","8.28","8.11","8.18"
"Guatemala","Data source","All types","1.62","1.62","1.65","1.81","1.90","2.02","1.99"
"Guinea","Data source","All types","","0.34","0.28","0.22","0.22","0.22","0.20"
"Guinea-Bissau","Data source","All types","","2.81","2.80","2.69","2.83","2.96","2.83"
"Guyana","Data source","All types","5.31","4.75","5.20","5.11","5.13","5.11","5.08"
"Haiti","Data source","All types","","5.81","5.81","5.81","5.81","5.71","5.77"
"Honduras","Data source","All types","2.86","2.84","2.64","2.92","2.92","2.94","2.91"
"Hungary","Data source","All types","","10.90","10.88","10.70","11.14","11.35","10.75"
"Iceland","Data source","All types","7.50","7.66","7.01","6.80","6.82","6.84","6.79"
"India","Data source","All types","3.04","3.00","3.02","3.05","3.06","2.96","2.74"
"Indonesia","Data source","All types","0.29","0.28","0.28","0.28","0.10","0.09","0.09"
"Iran (Islamic Republic of)","Data source","All types","","0.01","0.01","0.01","0.02","0.03","0.03"
"Iraq","Data source","All types","","0.17","0.17","0.17","0.19","0.18","0.19"
"Ireland","Data source","All types","11.46","10.93","11.00","10.64","11.53","11.65","11.63"
"Israel","Data source","All types","2.64","2.61","2.71","2.86","2.81","2.66","2.63"
"Italy","Data source","All types","7.08","7.14","7.56","7.35","7.48","6.98","6.95"
"Jamaica","Data source","All types","3.44","3.33","3.28","3.27","3.15","3.09","3.06"
"Japan","Data source","All types","","6.86","6.71","6.95","6.83","6.86","6.88"
"Jordan","Data source","All types","0.38","0.37","0.43","0.41","0.43","0.44","0.52"
"Kazakhstan","Data source","All types","5.80","5.92","6.06","6.26","6.48","6.35","6.59"
"Kenya","Data source","All types","","1.86","1.77","2.06","1.96","1.95","1.84"
"Kiribati","Data source","All types","","0.36","0.36","0.36","0.37","0.55","0.49"
"Kuwait","Data source","All types","","0.01","0.01","0.01","0.01","0.02","0.01"
"Kyrgyzstan","Data source","All types","3.91","4.70","5.59","5.72","5.83","6.02","6.08"
"Lao People's Democratic Republic","Data source","All types","","6.81","6.63","6.41","6.31","6.29","6.09"
"Latvia","Data source","All types","11.19","10.82","10.60","10.43","10.20","10.11","9.83"
"Lebanon","Data source","All types","1.21","1.18","1.36","1.34","1.42","1.47","1.56"
"Lesotho","Data source","All types","","2.88","2.66","2.64","2.51","2.45","2.86"
"Liberia","Data source","All types","","3.51","3.47","3.72","3.75","3.74","3.63"
"Libya","Data source","All types","","","","0","0.01","0","0"
"Lithuania","Data source","All types","13.61","14.42","14.82","15.14","15.15","14.88","13.61"
"Luxembourg","Data source","All types","11.22","11.83","11.69","11.55","11.89","12.01","11.72"
"Madagascar","Data source","All types","0.89","0.87","0.88","0.87","0.93","0.97","1.03"
"Malawi","Data source","All types","","2.00","1.99","1.99","1.83","1.86","1.67"
"Malaysia","Data source","All types","0.63","0.64","0.58","0.59","0.53","0.51","0.49"
"Maldives","Data source","All types","","1.32","1.32","1.33","1.31","1.89","1.72"
"Mali","Data source","All types","","0.58","0.58","0.58","0.61","0.60","0.58"
"Malta","Data source","All types","8.02","7.75","7.88","7.97","7.92","7.12","7.52"
"Mauritania","Data source","All types","","0","0","0","0","0.01","0"
"Mauritius","Data source","All types","","2.58","2.80","2.95","2.94","3.02","2.95"
"Mexico","Data source","All types","5.53","5.28","5.19","5.16","5.31","5.32","5.15"
"Micronesia (Federated States of)","Data source","All types","","1.59","1.59","1.67","2.98","1.91","1.78"
"Mongolia","Data source","All types","","5.66","5.74","5.64","5.51","5.38","5.06"
"Montenegro","Data source","All types","","6.41","6.53","6.47","6.49","6.38","7.26"
"Morocco","Data source","All types","","0.38","0.50","0.53","0.54","0.54","0.55"
"Mozambique","Data source","All types","1.29","1.23","1.10","1.00","0.99","0.93","0.85"
"Myanmar","Data source","All types","","1.60","1.78","1.67","1.36","1.09","0.97"
"Namibia","Data source","All types","","7.83","7.83","7.83","6.34","7.71","7.44"
"Nauru","","All types","","","","2.54","3.64","4.44","4.66"
"Nauru","Data source","All types","","","","2.54","3.64","4.44","4.66"
"Nepal","Data source","All types","","0.58","0.69","0.60","0.26","0.25","0.23"
"Netherlands","Data source","All types","","8.03","8.16","8.54","9.28","9.17","9.32"
"New Zealand","Data source","All types","9.24","8.87","9.15","9.25","9.24","9.48","9.63"
"Nicaragua","Data source","All types","3.86","3.73","3.54","3.56","3.61","3.36","3.34"
"Niger","Data source","All types","","0.11","0.11","0.10","0.16","0.13","0.11"
"Nigeria","Data source","All types","","9.62","9.64","9.63","9.90","10.13","10.31"
"Niue","Data source","All types","","","","10.57","11.29","5.99","4.90"
"Norway","Data source","All types","6.03","5.97","6.06","6.22","6.21","6.44","6.59"
"Oman","Data source","All types","0.39","0.39","0.39","0.42","0.48","0.51","0.53"
"Pakistan","Data source","All types","0.04","0.04","0.04","0.03","0.03","0.04","0.04"
"Panama","Data source","All types","6.69","6.92","7.29","7.35","7.11","7.05","6.90"
"Papua New Guinea","Data source","All types","","0.71","0.76","0.83","0.87","0.88","0.79"
"Paraguay","Data source","All types","5.80","5.63","6.07","6.14","6.17","6.60","6.81"
"Peru","Data source","All types","","5.10","5.14","5.06","5.38","5.26","5.28"
"Philippines","Data source","All types","4.55","4.41","4.55","4.53","4.95","4.90","4.78"
"Poland","Data source","All types","10.43","10.48","10.45","10.79","10.19","10.21","10.04"
"Portugal","Data source","All types","10.66","10.54","10.35","10.54","10.86","11.91","12.23"
"Puerto Rico","Data source","All types","","","4.96","4.87","4.80","4.63","4.66"
"Qatar","Data source","All types","1.31","1.26","1.20","1.24","1.16","1.17","1.14"
"Republic of Korea","Data source","All types","","9.06","8.95","8.77","8.98","8.86","8.90"
"Republic of Moldova","Data source","All types","9.30","9.39","9.14","9.62","9.85","8.67","7.55"
"Romania","Data source","All types","","10.40","10.46","10.59","10.55","10.40","10.79"
"Russian Federation","Data source","All types","8.42","8.41","8.85","9.92","10.89","10.95","10.98"
"Rwanda","Data source","All types","","6.91","6.83","6.90","7.13","7.30","7.70"
"Saint Kitts and Nevis","Data source","All types","8.86","8.80","8.58","8.51","8.46","8.27","8.38"
"Saint Lucia","Data source","All types","9.69","9.66","9.50","9.26","9.63","10.26","10.68"
"Saint Vincent and the Grenadines","Data source","All types","7.44","7.25","6.99","6.89","6.93","7.02","6.99"
"Samoa","Data source","All types","","1.97","2.01","1.90","2.19","2.16","3.01"
"Sao Tome and Principe","Data source","All types","","4.85","5.39","4.78","4.83","5.90","5.80"
"Saudi Arabia","Data source","All types","","0.08","0.08","0.08","0.08","0.09","0.08"
"Senegal","Data source","All types","","0.25","0.25","0.25","0.28","0.31","0.28"
"Serbia","Data source","All types","9.17","9.13","8.77","9.06","9.05","8.96","9.09"
"Seychelles","Data source","All types","","11.50","9.77","9.36","8.16","8.58","5.92"
"Sierra Leone","Data source","All types","","3.42","3.40","3.53","3.60","3.84","3.91"
"Singapore","Data source","All types","1.81","1.80","1.83","1.84","1.93","1.89","1.84"
"Slovakia","Data source","All types","10.14","10.78","10.89","10.54","10.66","10.78","10.55"
"Slovenia","Data source","All types","10.51","11.49","10.92","9.53","10.95","10.61","10.31"
"Solomon Islands","Data source","All types","","0.98","0.95","0.98","1.00","1.05","1.09"
"Somalia","Data source","All types","","0","0","0","0","0","0"
"South Africa","Data source","All types","7.12","7.12","7.17","7.19","7.26","7.28","7.28"
"Spain","Data source","All types","8.58","8.26","8.70","8.77","8.83","9.01","9.78"
"Sri Lanka","Data source","All types","","2.72","2.45","2.65","2.89","3.03","2.31"
"Sudan","Data source","All types","","","","0.06","0","",""
"Suriname","Data source","All types","4.22","4.69","5.41","5.95","5.75","5.66","5.27"
"Sweden","Data source","All types","7.18","7.16","7.20","7.32","7.23","7.34","7.31"
"Switzerland","Data source","All types","9.43","9.62","9.62","9.74","9.87","9.99","10.01"
"Syrian Arab Republic","Data source","All types","","0.23","0.20","0.15","0.21","0.60","0.76"
"Tajikistan","Data source","All types","0.91","0.90","0.87","0.79","0.76","0.70","0.67"
"Thailand","Data source","All types","","6.57","6.90","6.79","7.09","7.14","6.70"
"The former Yugoslav republic of Macedonia","Data source","All types","4.83","4.68","3.75","3.81","3.74","3.74","3.76"
"Timor-Leste","Data source","All types","","0.56","0.56","0.56","0.57","0.46","0.09"
"Togo","Data source","All types","","1.66","1.66","1.63","1.38","1.53","1.30"
"Tonga","Data source","All types","","","","0.37","0.54","0.96","1.24"
"Trinidad and Tobago","Data source","All types","7.52","6.87","6.88","6.68","6.68","6.50","6.50"
"Tunisia","Data source","All types","1.40","1.42","1.49","1.40","1.39","1.28","1.27"
"Turkey","Data source","All types","1.29","1.40","1.44","1.40","1.53","1.51","1.49"
"Turkmenistan","Data source","All types","3.43","3.39","3.85","3.88","3.70","3.56","3.55"
"Tuvalu","Data source","All types","","","","1.63","1.91","1.34","1.02"
"Uganda","Data source","All types","","7.63","7.67","7.58","8.30","11.59","11.30"
"Ukraine","Data source","All types","5.82","5.75","6.22","7.11","8.18","8.77","8.81"
"United Arab Emirates","Data source","All types","2.10","2.03","1.94","1.86","1.79","1.76","1.70"
"United Kingdom of Great Britain and Northern Ireland","Data source","All types","9.81","9.82","9.69","9.65","9.76","10.02","10.22"
"United Republic of Tanzania","Data source","All types","","6.16","6.16","6.20","5.84","6.62","6.65"
"United States of America","Data source","All types","","8.78","8.77","8.81","8.86","8.66","8.56"
"Uruguay","Data source","All types","","9.03","9.06","8.70","8.47","8.75","8.52"
"Uzbekistan","Data source","All types","1.60","1.61","1.51","1.56","1.52","1.77","1.79"
"Vanuatu","Data source","All types","","0.85","0.86","0.98","1.04","0.85","0.91"
"Venezuela (Bolivarian Republic of)","Data source","All types","3.87","5.98","6.41","6.66","6.65","6.70","7.18"
"Viet Nam","Data source","All types","3.10","2.92","2.74","2.66","2.50","2.37","2.18"
"Yemen","Data source","All types","","0.04","0.04","0.04","0.04","0.04","0.05"
"Zambia","Data source","All types","","2.89","2.93","2.81","2.96","2.93","2.95"
"Zimbabwe","Data source","All types","","3.55","3.44","3.34","3.45","3.34","2.92"
